"id","pokemon","species_id","height","weight","base_experience","type_1","type_2","attack","defense","hp","special_attack","special_defense","speed"
10064,"swampert-mega",260,190,1020,286,"water","ground",150,110,100,95,110,70
10065,"sceptile-mega",254,190,552,284,"grass","dragon",110,75,70,145,85,145
10066,"sableye-mega",302,50,1610,168,"dark","ghost",85,125,50,85,115,20
10067,"altaria-mega",334,150,206,207,"dragon","fairy",110,110,75,110,105,80
10068,"gallade-mega",475,160,564,278,"psychic","fighting",165,95,68,65,115,110
10069,"audino-mega",531,150,320,425,"normal","fairy",60,126,103,80,126,50
10070,"sharpedo-mega",319,250,1303,196,"water","dark",140,70,70,110,65,105
10071,"slowbro-mega",80,200,1200,207,"water","psychic",75,180,95,130,80,30
10072,"steelix-mega",208,1050,7400,214,"steel","ground",125,230,75,55,95,30
10073,"pidgeot-mega",18,220,505,261,"normal","flying",80,80,83,135,80,121
10074,"glalie-mega",362,210,3502,203,"ice",NA,120,80,80,120,80,100
10075,"diancie-mega",719,110,278,315,"rock","fairy",160,110,50,160,110,110
10076,"metagross-mega",376,250,9429,315,"steel","psychic",145,150,80,105,110,110
10077,"kyogre-primal",382,980,4300,347,"water",NA,150,90,100,180,160,90
10078,"groudon-primal",383,500,9997,347,"ground","fire",180,160,100,150,90,90
10079,"rayquaza-mega",384,1080,3920,351,"dragon","flying",180,100,105,180,100,115
10080,"pikachu-rock-star",25,40,60,112,"electric",NA,55,40,35,50,50,90
10081,"pikachu-belle",25,40,60,112,"electric",NA,55,40,35,50,50,90
10082,"pikachu-pop-star",25,40,60,112,"electric",NA,55,40,35,50,50,90
10083,"pikachu-phd",25,40,60,112,"electric",NA,55,40,35,50,50,90
10084,"pikachu-libre",25,40,60,112,"electric",NA,55,40,35,50,50,90
10085,"pikachu-cosplay",25,40,60,112,"electric",NA,55,40,35,50,50,90
10086,"hoopa-unbound",720,650,4900,306,"psychic","dark",160,60,80,170,130,80
10087,"camerupt-mega",323,250,3205,196,"fire","ground",120,100,70,145,105,20
10088,"lopunny-mega",428,130,283,203,"normal","fighting",136,94,65,54,96,135
10089,"salamence-mega",373,180,1126,315,"dragon","flying",145,130,95,120,90,120
10090,"beedrill-mega",15,140,405,223,"bug","poison",150,40,65,15,80,145
